response,reason,week,values
Enough - Wanted,not_want_employ,1,0.6357073161545316
Enough - Wanted,not_want_employ,2,0.5875649827656859
Enough - Wanted,not_want_employ,3,0.5897295728811355
Enough - Wanted,not_want_employ,4,0.5576057548118574
Enough - Wanted,not_want_employ,5,0.5575889417179726
Enough - Wanted,not_want_employ,6,0.6014185009713322
Enough - Wanted,not_want_employ,7,0.5953442429864757
Enough - Wanted,not_want_employ,8,0.6489858110899087
Enough - Wanted,not_want_employ,9,0.6495154450467117
Enough - Wanted,not_want_employ,10,0.6112400354351526
Enough - Wanted,not_want_employ,11,0.5571900078479026
Enough - Wanted,not_want_employ,12,0.5279271938189357
Enough - Wanted,not_want_employ,13,0.562131139999816
Enough - Wanted,not_want_employ,14,0.6974712707746904
Enough - Wanted,not_want_employ,15,0.6110008655273821
Enough - Wanted,not_want_employ,16,0.6071557864971228
Enough - Wanted,not_want_employ,17,0.6854229081865875
Enough - Wanted,not_want_employ,18,0.5950951382072986
Enough - Wanted,not_want_employ,19,0.7114991865383894
Enough - Wanted,not_want_employ,20,0.5831422255368921
Enough - Wanted,not_want_employ,21,0.610662593508351
Enough - Wanted,not_want_employ,22,0.5553533052017319
Enough - Wanted,not_want_employ,23,0.6120720043738185
Enough - Wanted,not_want_employ,24,0.5554030167222848
Enough - Wanted,not_want_employ,25,0.6730565297515957
Enough - Wanted,not_want_employ,26,0.7030292154548697
Enough - Wanted,not_want_employ,27,0.6426530354316553
Enough - Not Always Wanted,not_want_employ,1,0.20227444730718577
Enough - Not Always Wanted,not_want_employ,2,0.08818852535652977
Enough - Not Always Wanted,not_want_employ,3,0.1369294139942419
Enough - Not Always Wanted,not_want_employ,4,0.10240909228304568
Enough - Not Always Wanted,not_want_employ,5,0.09408298094129888
Enough - Not Always Wanted,not_want_employ,6,0.16113829028164295
Enough - Not Always Wanted,not_want_employ,7,0.15108776470287005
Enough - Not Always Wanted,not_want_employ,8,0.10667879676719416
Enough - Not Always Wanted,not_want_employ,9,0.27981900161602274
Enough - Not Always Wanted,not_want_employ,10,0.1484772294354875
Enough - Not Always Wanted,not_want_employ,11,0.14124220483869607
Enough - Not Always Wanted,not_want_employ,12,0.222137490602452
Enough - Not Always Wanted,not_want_employ,13,0.13949582769819582
Enough - Not Always Wanted,not_want_employ,14,0.2271037132001152
Enough - Not Always Wanted,not_want_employ,15,0.13899819685268075
Enough - Not Always Wanted,not_want_employ,16,0.12263557560784762
Enough - Not Always Wanted,not_want_employ,17,0.10664880948183177
Enough - Not Always Wanted,not_want_employ,18,0.16686583593871004
Enough - Not Always Wanted,not_want_employ,19,0.2039646104899467
Enough - Not Always Wanted,not_want_employ,20,0.26096504634036577
Enough - Not Always Wanted,not_want_employ,21,0.31564478888807385
Enough - Not Always Wanted,not_want_employ,22,0.17882600238438853
Enough - Not Always Wanted,not_want_employ,23,0.2899145487509575
Enough - Not Always Wanted,not_want_employ,24,0.16401006343101843
Enough - Not Always Wanted,not_want_employ,25,0.19912838270389976
Enough - Not Always Wanted,not_want_employ,26,0.18166977338888715
Enough - Not Always Wanted,not_want_employ,27,0.27351102684614703
Sometimes Not Enough,not_want_employ,1,0.09038115000594388
Sometimes Not Enough,not_want_employ,2,0.02192565523238779
Sometimes Not Enough,not_want_employ,3,0.02824539740016287
Sometimes Not Enough,not_want_employ,4,0.03010080279167736
Sometimes Not Enough,not_want_employ,5,0.02411547901663149
Sometimes Not Enough,not_want_employ,6,0.04581124905167071
Sometimes Not Enough,not_want_employ,7,0.03419868016635301
Sometimes Not Enough,not_want_employ,8,0.06537550378692919
Sometimes Not Enough,not_want_employ,9,0.03333559613296338
Sometimes Not Enough,not_want_employ,10,0.02093142811754629
Sometimes Not Enough,not_want_employ,11,0.01710944729950577
Sometimes Not Enough,not_want_employ,12,0.02864034973524137
Sometimes Not Enough,not_want_employ,13,0.02469984267616129
Sometimes Not Enough,not_want_employ,14,0.0182596638889663
Sometimes Not Enough,not_want_employ,15,0.03843179106660727
Sometimes Not Enough,not_want_employ,16,0.00806314270647907
Sometimes Not Enough,not_want_employ,17,0.01739750550771058
Sometimes Not Enough,not_want_employ,18,0.05873835466365466
Sometimes Not Enough,not_want_employ,19,0.0285916452304999
Sometimes Not Enough,not_want_employ,20,0.08769329833135094
Sometimes Not Enough,not_want_employ,21,0.04976078227519399
Sometimes Not Enough,not_want_employ,22,0.02886796448516031
Sometimes Not Enough,not_want_employ,23,0.06215038336327404
Sometimes Not Enough,not_want_employ,24,0.04334220503319613
Sometimes Not Enough,not_want_employ,25,0.04154117382085912
Sometimes Not Enough,not_want_employ,26,0.04397742323735827
Sometimes Not Enough,not_want_employ,27,0.01908524839716272
Often Not Enough,not_want_employ,1,0.01593949245126899
Often Not Enough,not_want_employ,2,0.0381151704714698
Often Not Enough,not_want_employ,3,0.00888338015605681
Often Not Enough,not_want_employ,4,0.02972287984458196
Often Not Enough,not_want_employ,5,0.00591498183014684
Often Not Enough,not_want_employ,6,0.03521470001545104
Often Not Enough,not_want_employ,7,0.02190577203177764
Often Not Enough,not_want_employ,8,0.00600259565609097
Often Not Enough,not_want_employ,9,0.01253335130779824
Often Not Enough,not_want_employ,10,0.00555460896948632
Often Not Enough,not_want_employ,11,0.02829024722299576
Often Not Enough,not_want_employ,12,0.02179966705829897
Often Not Enough,not_want_employ,13,0.03611419318631374
Often Not Enough,not_want_employ,14,0.02517186440363052
Often Not Enough,not_want_employ,15,0.01708864425574438
Often Not Enough,not_want_employ,16,0.01306060615157091
Often Not Enough,not_want_employ,17,0.01406541807418083
Often Not Enough,not_want_employ,18,0.02309271663247425
Often Not Enough,not_want_employ,19,0.01173152752315041
Often Not Enough,not_want_employ,20,0.0147477580857665
Often Not Enough,not_want_employ,21,0.00228770899939013
Often Not Enough,not_want_employ,22,0.02312798048566229
Often Not Enough,not_want_employ,23,0.00965276826998857
Often Not Enough,not_want_employ,24,0.02959494397469026
Often Not Enough,not_want_employ,25,0.01386355239522785
Often Not Enough,not_want_employ,26,0.01252756563841767
Often Not Enough,not_want_employ,27,0.01212032971576207
Did not report,not_want_employ,1,0.05569759408106985
Did not report,not_want_employ,2,0.26420566617392666
Did not report,not_want_employ,3,0.23621223556840296
Did not report,not_want_employ,4,0.2801614702688376
Did not report,not_want_employ,5,0.3182976164939502
Did not report,not_want_employ,6,0.15641725967990305
Did not report,not_want_employ,7,0.19746354011252365
Did not report,not_want_employ,8,0.17295729269987695
Did not report,not_want_employ,9,0.02479660589650402
Did not report,not_want_employ,10,0.2137966980423273
Did not report,not_want_employ,11,0.2561680927908998
Did not report,not_want_employ,12,0.19949529878507197
Did not report,not_want_employ,13,0.23755899643951311
Did not report,not_want_employ,14,0.03199348773259757
Did not report,not_want_employ,15,0.19448050229758557
Did not report,not_want_employ,16,0.24908488903697967
Did not report,not_want_employ,17,0.17646535874968933
Did not report,not_want_employ,18,0.1562079545578624
Did not report,not_want_employ,19,0.04421303021801363
Did not report,not_want_employ,20,0.05345167170562471
Did not report,not_want_employ,21,0.02164412632899104
Did not report,not_want_employ,22,0.21382474744305704
Did not report,not_want_employ,23,0.02621029524196138
Did not report,not_want_employ,24,0.20764977083881037
Did not report,not_want_employ,25,0.07241036132841754
Did not report,not_want_employ,26,0.05879602228046712
Did not report,not_want_employ,27,0.05263035960927292
Enough - Wanted,covid_symptoms,1,0.2545734416067903
Enough - Wanted,covid_symptoms,2,0.2736766572694622
Enough - Wanted,covid_symptoms,3,0.311433982385785
Enough - Wanted,covid_symptoms,4,0.18445261442683808
Enough - Wanted,covid_symptoms,5,0.28387377112073375
Enough - Wanted,covid_symptoms,6,0.3723346341224361
Enough - Wanted,covid_symptoms,7,0.3053613294927929
Enough - Wanted,covid_symptoms,8,0.29422443255108055
Enough - Wanted,covid_symptoms,9,0.23317117678814467
Enough - Wanted,covid_symptoms,10,0.16906476775473597
Enough - Wanted,covid_symptoms,11,0.2293005997800929
Enough - Wanted,covid_symptoms,12,0.21544272908775705
Enough - Wanted,covid_symptoms,13,0.23190667216514643
Enough - Wanted,covid_symptoms,14,0.29679438860516694
Enough - Wanted,covid_symptoms,15,0.2064149651328228
Enough - Wanted,covid_symptoms,16,0.28316993544109265
Enough - Wanted,covid_symptoms,17,0.2867044688591305
Enough - Wanted,covid_symptoms,18,0.22412953631885865
Enough - Wanted,covid_symptoms,19,0.3223081043252521
Enough - Wanted,covid_symptoms,20,0.2138507645505567
Enough - Wanted,covid_symptoms,21,0.23806543108278289
Enough - Wanted,covid_symptoms,22,0.21505571888986552
Enough - Wanted,covid_symptoms,23,0.294736409657986
Enough - Wanted,covid_symptoms,24,0.28162082853615855
Enough - Wanted,covid_symptoms,25,0.27488393702306035
Enough - Wanted,covid_symptoms,26,0.2654834005503635
Enough - Wanted,covid_symptoms,27,0.26084916326904956
Enough - Not Always Wanted,covid_symptoms,1,0.3324950098494833
Enough - Not Always Wanted,covid_symptoms,2,0.3510964581716437
Enough - Not Always Wanted,covid_symptoms,3,0.26831172952027355
Enough - Not Always Wanted,covid_symptoms,4,0.3905115201297845
Enough - Not Always Wanted,covid_symptoms,5,0.29360357212756205
Enough - Not Always Wanted,covid_symptoms,6,0.2627851446546375
Enough - Not Always Wanted,covid_symptoms,7,0.3146915895818236
Enough - Not Always Wanted,covid_symptoms,8,0.3637941403085238
Enough - Not Always Wanted,covid_symptoms,9,0.29177320387168393
Enough - Not Always Wanted,covid_symptoms,10,0.5263347194665652
Enough - Not Always Wanted,covid_symptoms,11,0.3227750953359835
Enough - Not Always Wanted,covid_symptoms,12,0.33196328461136076
Enough - Not Always Wanted,covid_symptoms,13,0.449242658715019
Enough - Not Always Wanted,covid_symptoms,14,0.34448718979151327
Enough - Not Always Wanted,covid_symptoms,15,0.34770922964698975
Enough - Not Always Wanted,covid_symptoms,16,0.3119983129433015
Enough - Not Always Wanted,covid_symptoms,17,0.29192926623140547
Enough - Not Always Wanted,covid_symptoms,18,0.43283841929457056
Enough - Not Always Wanted,covid_symptoms,19,0.403437068528144
Enough - Not Always Wanted,covid_symptoms,20,0.33158929127217596
