response,reason,week,values
Enough - Not Always Wanted,children,32,0.4172823282693531
Enough - Not Always Wanted,children,33,0.40565752710010494
Enough - Not Always Wanted,children,34,0.33988161778187864
Enough - Not Always Wanted,children,35,0.3227149533605317
Enough - Not Always Wanted,children,36,0.33140358654088276
Sometimes Not Enough,children,28,0.1166750995914284
Sometimes Not Enough,children,29,0.1996360236641127
Sometimes Not Enough,children,30,0.20178718589402775
Sometimes Not Enough,children,31,0.14314331186396287
Sometimes Not Enough,children,32,0.18041876324685313
Sometimes Not Enough,children,33,0.19987899865749567
Sometimes Not Enough,children,34,0.15113059010711477
Sometimes Not Enough,children,35,0.1786499035128043
Sometimes Not Enough,children,36,0.15107112726844915
Often Not Enough,children,28,0.04831865929773546
Often Not Enough,children,29,0.04774981103001764
Often Not Enough,children,30,0.04564448063659739
Often Not Enough,children,31,0.03471305571779654
Often Not Enough,children,32,0.03378333273855881
Often Not Enough,children,33,0.04652160240907868
Often Not Enough,children,34,0.03374529044011096
Often Not Enough,children,35,0.05149794575647876
Often Not Enough,children,36,0.0775838343652094
Did not report,children,28,0.16586957797997243
Did not report,children,29,0.13971168303662976
Did not report,children,30,0.10737751557725043
Did not report,children,31,0.13796864995231856
Did not report,children,32,0.01755452507954234
Did not report,children,33,0.01520622638078909
Did not report,children,34,0.15452457843154652
Did not report,children,35,0.17399568321553754
Did not report,children,36,0.14921651149759735
Enough - Wanted,sick_not_covid,28,0.3013038399030107
Enough - Wanted,sick_not_covid,29,0.33805760627279935
Enough - Wanted,sick_not_covid,30,0.309887799430713
Enough - Wanted,sick_not_covid,31,0.25888848766396
Enough - Wanted,sick_not_covid,32,0.35808880444725916
Enough - Wanted,sick_not_covid,33,0.32592014514585116
Enough - Wanted,sick_not_covid,34,0.27453419963340886
Enough - Wanted,sick_not_covid,35,0.2661062236529096
Enough - Wanted,sick_not_covid,36,0.3177701788441187
Enough - Not Always Wanted,sick_not_covid,28,0.4654967177675103
Enough - Not Always Wanted,sick_not_covid,29,0.35873183608228
Enough - Not Always Wanted,sick_not_covid,30,0.3564805272697751
Enough - Not Always Wanted,sick_not_covid,31,0.31649961612533833
Enough - Not Always Wanted,sick_not_covid,32,0.4399227058640284
Enough - Not Always Wanted,sick_not_covid,33,0.3750620370565369
Enough - Not Always Wanted,sick_not_covid,34,0.37962692287421235
Enough - Not Always Wanted,sick_not_covid,35,0.3897211950690133
Enough - Not Always Wanted,sick_not_covid,36,0.4201511429772437
Sometimes Not Enough,sick_not_covid,28,0.16728439685227703
Sometimes Not Enough,sick_not_covid,29,0.12074783675329856
Sometimes Not Enough,sick_not_covid,30,0.16072135091341072
Sometimes Not Enough,sick_not_covid,31,0.2148863665937955
Sometimes Not Enough,sick_not_covid,32,0.15143009173934735
Sometimes Not Enough,sick_not_covid,33,0.16068779774310282
Sometimes Not Enough,sick_not_covid,34,0.17288817989775904
Sometimes Not Enough,sick_not_covid,35,0.1538969677134674
Sometimes Not Enough,sick_not_covid,36,0.18836962941035457
Often Not Enough,sick_not_covid,28,0.04117780588642573
Often Not Enough,sick_not_covid,29,0.04016606485706952
Often Not Enough,sick_not_covid,30,0.05253561357408187
Often Not Enough,sick_not_covid,31,0.05663257339163023
Often Not Enough,sick_not_covid,32,0.03555530254692717
Often Not Enough,sick_not_covid,33,0.0599358430542934
Often Not Enough,sick_not_covid,34,0.06888658830798781
Often Not Enough,sick_not_covid,35,0.0687918561540453
Often Not Enough,sick_not_covid,36,0.0457400340257796
Did not report,sick_not_covid,28,0.02473723959077626
Did not report,sick_not_covid,29,0.14229665603455255
Did not report,sick_not_covid,30,0.12037470881201932
Did not report,sick_not_covid,31,0.15309295622527586
Did not report,sick_not_covid,32,0.01500309540243789
Did not report,sick_not_covid,33,0.07839417700021577
Did not report,sick_not_covid,34,0.10406410928663191
Did not report,sick_not_covid,35,0.1214837574105644
Did not report,sick_not_covid,36,0.02796901474250344
